	0	1
0	-500	156
1	13	-37
2	-19	5
3	8	-14
4	0	0
5	7	-3
6	-29	15
7	20	18
8	27	-13
9	-10	0
10	12	12
11	-19	-13
12	-27	21
13	-6	-4
14	-8	12
15	-13	-11
16	-2	78
17	33	-21
18	-15	21
19	10	12
20	18	-2
21	3	-7
22	3	-1
23	-22	-4
24	-5	-13
25	-16	-18
26	-18	-14
27	13	-5
28	-11	9
29	4	6
30	-18	18
31	7	5
32	-22	154
33	5	-21
34	13	29
35	18	-4
36	6	26
37	15	9
38	-21	3
39	14	-40
40	-11	-23
41	10	-8
42	-20	0
43	31	-15
44	31	-9
45	22	0
46	-16	4
47	-11	7
48	-26	2
49	-9	-3
50	-29	3
51	-6	-24
52	-26	-6
53	5	11
54	9	13
55	-2	0
56	-9	23
57	2	24
58	-24	52
59	21	-5
60	-11	21
61	10	0
62	12	-20
63	-29	5
64	4	-4
65	-17	1
66	11	-9
67	-20	22
68	-14	-2
69	19	-7
70	-17	35
71	-26	0
72	-37	23
73	4	14
74	-2	14
75	1	3
76	-5	3
77	6	4
78	4	-4
79	9	3
80	0	4
81	13	-9
82	17	-3
83	24	14
84	-2	-14
85	-7	11
86	-47	-7
87	6	-8
88	-11	21
89	-16	-14
90	-14	-14
91	-29	9
92	-3	-3
93	-6	-20
94	36	-24
95	7	-23
96	8	-12
97	-19	3
98	-3	21
99	16	6
100	14	-14
101	-7	-17
102	9	-3
103	18	20
104	-5	23
105	-18	8
106	-8	0
107	37	-33
108	3	7
109	8	-6
110	14	10
111	13	-13
112	10	6
113	13	23
114	-7	-19
115	-18	-12
116	20	-4
117	13	3
118	-19	25
119	-8	-2
120	3	-9
121	-4	10
122	26	14
123	9	27
124	7	-1
125	-6	4
126	8	-28
127	17	-21
128	-9	11
129	2	-16
130	-26	2
131	-1	-7
132	5	-3
133	6	-16
134	10	14
135	-23	-21
136	22	-10
137	7	-3
138	1	-7
139	-12	-10
140	-6	-2
141	-19	7
142	-5	3
143	0	-6
144	-5	-9
145	-4	-26
146	32	8
147	11	-11
148	-7	5
149	-8	18
150	-8	-4
151	-15	-1
152	8	-8
153	-9	-7
154	1	-27
155	-10	-16
156	-12	12
157	-11	23
158	-1	15
159	38	-20
160	15	7
161	4	6
162	-20	12
163	-17	29
164	-19	13
165	-8	-14
166	-8	20
167	17	19
168	6	-34
169	-7	7
170	3	3
171	16	26
172	10	2
173	-1	5
174	-19	9
175	12	-14
176	33	-19
177	16	2
178	4	4
179	29	7
180	35	11
181	-8	-2
182	-16	-8
183	-1	-15
184	-18	-30
185	-21	9
186	9	25
187	4	-14
188	-2	14
189	-27	15
190	-13	3
191	8	-18
192	1	-15
193	-18	-36
194	30	-22
195	-3	-5
196	-11	13
197	-32	6
198	12	4
199	-7	-5
200	20	-20
201	11	-3
202	1	-27
203	-10	-8
204	-6	-22
205	3	5
206	1	-7
207	8	-2
208	-21	7
209	14	-20
210	22	-22
211	-1	9
212	-1	-1
